"","pais_region","codigo_pais_region","anyo","empleadoras_mujeres","empleadores_hombres","empleo_agricultura_mujeres","empleo_agricultura_hombres","empleo_industria_mujeres","empleo_industria_hombres","empleo_servicios_mujeres","empleo_servicios_hombres","empleo_informal_mujeres","empleo_informal_hombres","legislacion_acoso_sexual","autoempleo_mujeres","autoempleo_hombres","empleo_parcial_mujeres","desempleo_educacion_mujeres","desempleo_educacion_hombres","desempleo_mujeres","desempleo_hombres","trabajo_domestico_no_remunerado_mujeres","trabajo_domestico_no_remunerado_hombres"
"28","Argentina","ARG","1997",2.48000001907349,6.0479998588562,0.256000012159348,1.15900003910065,11.6549997329712,34.9620018005371,88.088996887207,63.8790016174316,NA,NA,NA,20.1490001678467,23.4220008850098,NA,NA,NA,17.7999992370605,12.9099998474121,NA,NA
"29","Argentina","ARG","1998",2.43700003623962,6.07399988174438,0.230000004172325,1.13800001144409,10.7700004577637,34.8499984741211,89,64.0120010375977,NA,NA,NA,19.9340000152588,23.3759994506836,NA,NA,NA,14.1099996566772,11.710000038147,NA,NA
"30","Argentina","ARG","1999",2.50999999046326,5.89300012588501,0.234999999403954,1.10099995136261,10.831000328064,32.7379989624023,88.9339981079102,66.161003112793,NA,NA,NA,19.6159992218018,23.1900005340576,NA,NA,NA,15.1800003051758,13.2799997329712,NA,NA
"31","Argentina","ARG","2000",2.97000002861023,6.06300020217896,0.236000001430511,0.978999972343445,10.3190002441406,31.5069999694824,89.4449996948242,67.5139999389648,NA,NA,NA,18.7940006256104,23.6749992370605,NA,NA,NA,16.3799991607666,14.0500001907349,NA,NA
"32","Argentina","ARG","2001",2.47000002861023,5.81599998474121,0.296999990940094,1.21700000762939,10.4230003356934,30.3229999542236,89.2799987792969,68.4599990844727,NA,NA,NA,19.6509990692139,24.8320007324219,NA,NA,NA,17.1900005340576,17.4099998474121,NA,NA
"33","Argentina","ARG","2002",1.91499996185303,5.09499979019165,0.472000002861023,1.34599995613098,9.39700031280518,27.9050006866455,90.1320037841797,70.7490005493164,NA,NA,NA,18.3889999389648,27.0319995880127,NA,14.5,12.9899997711182,18.8299999237061,20.1299991607666,NA,NA
"34","Argentina","ARG","2003",2.17799997329712,4.8439998626709,0.973999977111816,1.68599998950958,11.1730003356934,28.9500007629395,87.8539962768555,69.3639984130859,NA,NA,NA,16.5659999847412,23.7849998474121,NA,13.6899995803833,9.43000030517578,17.4799995422363,13.7299995422363,NA,NA
"35","Argentina","ARG","2004",2.36899995803833,5.13299989700317,0.966000020503998,1.85599994659424,10.7880001068115,30.7880001068115,88.2460021972656,67.3560028076172,62.0499992370605,57.3199996948242,NA,16.6079998016357,22.8020000457764,58.0663324746861,6.74910020828247,4.41130018234253,15.7447004318237,11.8341999053955,NA,NA
"36","Argentina","ARG","2005",2.24900007247925,5.13399982452393,0.718999981880188,1.65600001811981,10.6040000915527,31.798999786377,88.677001953125,66.5449981689453,60.3499984741211,55.8800010681152,NA,16.5839996337891,22.7290000915527,59.0354729669062,5.65520000457764,4.21379995346069,13.5213003158569,9.99769973754883,16.7361111,6.1111111
"37","Argentina","ARG","2006",2.36100006103516,5.27099990844727,0.486999988555908,1.43400001525879,10.6040000915527,32.5349998474121,88.9089965820313,66.0309982299805,57.3899993896484,53.310001373291,NA,15.7959995269775,21.621000289917,59.8393257921627,4.39169979095459,2.90300011634827,12.3408002853394,8.3621997833252,NA,NA
